frame,visible,score,x,y
261,0,-inf,-inf,-inf
262,0,-inf,-inf,-inf
263,0,-inf,-inf,-inf
264,1,3.9541016,647.1786499023438,202.19406127929688
265,0,-inf,-inf,-inf
266,0,-inf,-inf,-inf
267,0,-inf,-inf,-inf
268,0,-inf,-inf,-inf
269,0,-inf,-inf,-inf
270,0,-inf,-inf,-inf
271,0,-inf,-inf,-inf
272,0,-inf,-inf,-inf
273,1,7.9814453,638.7442016601562,209.27045822143555
274,1,3.1137695,636.0392761230469,257.52941131591797
275,1,1.0385742,641.2823486328125,262.5
276,0,-inf,-inf,-inf
277,0,-inf,-inf,-inf
278,0,-inf,-inf,-inf
279,0,-inf,-inf,-inf
280,0,-inf,-inf,-inf
281,0,-inf,-inf,-inf
282,1,9.165527,109.16826248168945,148.1101131439209
283,0,-inf,-inf,-inf
284,1,8.699219,668.7999725341797,26.229653358459473
285,1,7.2651367,659.2637634277344,23.04842472076416
286,1,10.584961,675.4479217529297,19.5524263381958
287,1,8.111816,641.5424346923828,19.435983896255493
288,1,1.1225586,633.7527084350586,20.0
289,0,-inf,-inf,-inf
290,0,-inf,-inf,-inf
291,0,-inf,-inf,-inf
292,1,5.07666,613.4353637695312,6.12676739692688
293,1,8.371094,608.5379791259766,2.8711211681365967
294,1,5.300293,602.5423812866211,2.5193458795547485
295,0,-inf,-inf,-inf
296,0,-inf,-inf,-inf
297,1,7.6499023,403.29307556152344,64.79830265045166
298,1,12.449219,400.6361770629883,63.62370491027832
299,1,15.177246,398.2881164550781,59.49023723602295
300,1,15.606934,395.51029205322266,55.04684925079346
301,0,-inf,-inf,-inf
302,1,0.5073242,935.0,75.0
303,0,-inf,-inf,-inf
304,1,3.0986328,392.92308807373047,42.09462642669678
305,1,11.34082,393.3424758911133,38.61394643783569
306,1,14.787109,395.1640319824219,34.38160419464111
307,1,0.51123047,395.0,30.0
308,0,-inf,-inf,-inf
309,1,12.620605,402.9593276977539,24.005589485168457
310,1,4.289551,406.56856536865234,18.103301525115967
311,1,0.52441406,412.5,12.5
312,0,-inf,-inf,-inf
313,0,-inf,-inf,-inf
314,0,-inf,-inf,-inf
315,1,7.848633,983.5395812988281,11.097112894058228
316,1,1.1577148,987.5,6.363348960876465
317,1,1.2011719,997.5,3.7113821506500244
318,0,-inf,-inf,-inf
319,0,-inf,-inf,-inf
320,0,-inf,-inf,-inf
321,0,-inf,-inf,-inf
322,0,-inf,-inf,-inf
323,0,-inf,-inf,-inf
324,0,-inf,-inf,-inf
325,0,-inf,-inf,-inf
326,0,-inf,-inf,-inf
327,0,-inf,-inf,-inf
328,0,-inf,-inf,-inf
329,0,-inf,-inf,-inf
330,0,-inf,-inf,-inf
331,0,-inf,-inf,-inf
332,0,-inf,-inf,-inf
333,0,-inf,-inf,-inf
334,0,-inf,-inf,-inf
335,0,-inf,-inf,-inf
336,0,-inf,-inf,-inf
337,0,-inf,-inf,-inf
338,0,-inf,-inf,-inf
339,0,-inf,-inf,-inf
340,0,-inf,-inf,-inf
341,1,7.949707,105.26902198791504,85.28054237365723
342,0,-inf,-inf,-inf
343,1,1.0478516,1197.5,83.7604808807373
344,1,6.0756836,1196.076889038086,86.98665618896484
345,1,16.129395,1195.3287506103516,90.36932945251465
346,1,14.294922,1192.4076843261719,94.90580558776855
347,1,16.77539,1190.0804138183594,99.23274040222168
348,1,17.75879,1185.9900665283203,103.497314453125
349,1,3.334961,1186.1610412597656,103.32906723022461
350,1,10.675293,1184.3757629394531,105.94612121582031
351,1,15.494629,1180.9353637695312,110.66303253173828
352,1,12.305664,1179.24072265625,114.70279693603516
353,1,14.986816,1176.7700958251953,117.94456481933594
354,1,14.876953,1175.6757354736328,120.69499015808105
355,1,6.1157227,1176.1141967773438,122.05768585205078
356,1,5.1967773,1175.5290222167969,123.6068344116211
357,0,-inf,-inf,-inf
358,0,-inf,-inf,-inf
359,0,-inf,-inf,-inf
360,0,-inf,-inf,-inf
361,0,-inf,-inf,-inf
362,0,-inf,-inf,-inf
363,1,1.6303711,1015.0,147.52545356750488
